State,Done,Task,Due,Type,Assignee,Next Due,Recur Interval,Created,Created By,Edited,Project,Kanban - State,Kanban - Tag,Priority,Parent Task,Sub-Tasks,Cold,Days (Only if Set to 1 Day(s)),Divider,Due Stamp (Parent),Due Timestamp,First Weekday Base Date,Last Day Base Date,Last Weekday Base Date,Late,Next Last Base Date,Parent Due Timestamp,Parent Project,Recur Unit,Simplified Recur Unit,Start,Sub Seed,Sub Seed Name,UTC Offset,⏱ Recurring Divider,✅ Sub-Task Divider
🔴,No,Test PerfMatters speed changes,2022년 2월 10일,⏳One-Time,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../../Projects%20a4c53eed60a84e5f985bc3540088c2bb/Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,To Do,Speed,🧀 Medium,,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1644469200000,1644469200000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,,,,,2020년 10월 25일,Yes,Test PerfMatters speed changes,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
🔴,No,Replay Breath of the Wild,2022년 2월 11일,⏳One-Time,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,🧀 Medium,,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1644555600000,1644555600000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,,,,,,Yes,Replay Breath of the Wild,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
➞😀,Yes,Test Sub-Task 2,2022년 3월 10일,⏳One-Time,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,🧀 Medium,../Test%20Inbox%20Task%20c915cf1dd73d45168e8d8e8bdee2ed21.md,,No,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1647576000000,1646888400000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,1998년 9월 28일 오후 1:00,1647576000000,,,,,No,Test Inbox Task,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
➞🔴,No,Overdue Sub-Task Example,2022년 3월 15일,⏳One-Time,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,🚨HIGH,../Write%20About%20page%20copy%20837237e2acb44182a888ee7c3fb21974.md,,No,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1634184000000,1647316800000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,1634184000000,https://www.notion.so/e808854d73ae41f3b6aef952816385dd,,,,No,Write About page copy,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
➞🔴,No,Dateless task sub-task with date,2022년 3월 15일,⏳One-Time,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,🧀 Medium,../Dateless%20task%205833397c7833401f82d9d3bc70c4386a.md,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,4824612420000,1647316800000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,4824612420000,https://www.notion.so/e808854d73ae41f3b6aef952816385dd,,,,No,Dateless task,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
➞🔴,No,Design header,2022년 3월 17일,⏳One-Time,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,🧀 Medium,../Create%20Home%20Page%202d07bc9f7ac4438ebc2a61054ccaeb35.md,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1655524800000,1647489600000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,1655524800000,https://www.notion.so/e808854d73ae41f3b6aef952816385dd,,,,No,Create Home Page,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
➞🔴,No,Test Sub-Task,2022년 3월 17일,⏳One-Time,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,🧀 Medium,../Test%20Inbox%20Task%20c915cf1dd73d45168e8d8e8bdee2ed21.md,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1647576000000,1647489600000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,1647576000000,,,,,No,Test Inbox Task,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
➞🔴,No,Design footer,2022년 3월 17일,⏳One-Time,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,🧀 Medium,../Create%20Home%20Page%202d07bc9f7ac4438ebc2a61054ccaeb35.md,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1655524800000,1647489600000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,1655524800000,https://www.notion.so/e808854d73ae41f3b6aef952816385dd,Month(s) on the Last Day,,,No,Create Home Page,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
➞🔴,No,Test full-width splash image,2022년 3월 18일,⏳One-Time,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,🧀 Medium,../Create%20Home%20Page%202d07bc9f7ac4438ebc2a61054ccaeb35.md,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1655524800000,1647576000000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,1655524800000,https://www.notion.so/e808854d73ae41f3b6aef952816385dd,,,,No,Create Home Page,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
🔴,No,Test Inbox Task,2022년 3월 18일,⏳One-Time,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,🧀 Medium,,"../Test%20Sub-Task%20f4d7351bb48143c3afd5d2ca6ea11174.md, ../Test%20Sub-Task%202%20478de3ebd6684651b0c16ea06c00d135.md",Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1647576000000,1647576000000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,,,,,,Yes,Test Inbox Task,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
🔴,No,Install 2FA plugin,2022년 3월 18일,⏳One-Time,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../../Projects%20a4c53eed60a84e5f985bc3540088c2bb/Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,To Do,Security,🚨HIGH,,,No,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1647576000000,1647576000000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,,,,,2020년 10월 26일,Yes,Install 2FA plugin,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
🔴,No,Sample inbox task,2022년 3월 24일,⏳One-Time,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,🚨HIGH,,,No,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1648094400000,1648094400000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,,,,,,Yes,Sample inbox task,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
🔴,No,3rd Test Task,2022년 3월 25일,⏳One-Time,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,🚨HIGH,,,No,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1648180800000,1648180800000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,,,,,,Yes,3rd Test Task,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
🔴,No,New Task Recurring,2022년 3월 30일,🔄Recurring,,"11월 30, 2022",2,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,🧀 Medium,,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1648612800000,1648612800000,1998년 9월 28일 오후 1:00,2022년 11월 30일,2022년 11월 30일,☠,2023년 1월 31일,,,Month(s) on the Last Weekday,days,,Yes,New Task Recurring,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
🔴,No,Create Home Page,2022년 6월 18일,⏳One-Time,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../../Projects%20a4c53eed60a84e5f985bc3540088c2bb/Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,Doing,Design,🚨HIGH,,"../Design%20header%20a6fa0a20e8484712839151577bb6c9c4.md, ../Test%20full-width%20splash%20image%20702e25f7a5ed44669414590331cac844.md, ../Design%20footer%20520f7afcace349a08d8b5475f7632321.md",No,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1655524800000,1655524800000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,,,,,2020년 10월 23일,Yes,Create Home Page,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
🔴,No,RECURRING TASK (click me),2022년 6월 19일,🔄Recurring,,"11월 22, 2022",6,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,,To Do,,🚨HIGH,,,No,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1655611200000,1655611200000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,,,Day(s),days,,Yes,RECURRING TASK (click me),0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
🔴,No,,2022년 7월 9일,🔄Recurring,,"11월 26, 2022",7,2022년 7월 9일 오전 12:21,Nak Won,2022년 7월 9일 오전 12:21,../../Projects%20a4c53eed60a84e5f985bc3540088c2bb/Fitness%20b7e3b2c72eed450cb55c8605362b70c1.md,To Do,,🧀 Medium,,,Yes,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,1657339200000,1657339200000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,☠,1998년 9월 28일 오후 1:00,,,,days,,Yes,,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
⚪️,No,Dateless task,,⏳One-Time,,,,2022년 7월 9일 오전 12:01,Nak Won,2022년 7월 9일 오전 12:01,../../Projects%20a4c53eed60a84e5f985bc3540088c2bb/Website%20Redesign%20%5BDEMO%20PROJECT%5D%20e808854d73ae41f3b6aef952816385dd.md,To Do,,🧀 Medium,,../Dateless%20task%20sub-task%20with%20date%200b5b08858a9346949edd2279d2ed81d0.md,No,,🛑🛑🛑🛑EVERYTHING BELOW HERE JUST RUNS THE TEMPLATE 🛑🛑🛑🛑,4824612420000,4824612420000,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,1998년 9월 28일 오후 1:00,,1998년 9월 28일 오후 1:00,,,,,,Yes,Dateless task,0,🛑🛑🛑 Helper functions for recurring tasks 🛑🛑🛑,🛑🛑🛑 Helper functions for sub-task sorting 🛑🛑🛑
